round,payoff_large,payoff_small,starting_point,number_steps_to_large,number_steps_to_small,time_large,time_small
1,6,4,0.75,9,3,108,36
2,6,4,0.833333333,10,2,120,24
3,6,4,0.916666667,11,1,132,12
4,8,4,0.75,9,3,108,36
5,8,4,0.833333333,10,2,120,24
6,8,4,0.916666667,11,1,132,12
7,6,4,0.75,9,3,108,36
8,6,4,0.833333333,10,2,120,24
9,6,4,0.916666667,11,1,132,12
10,8,4,0.75,9,3,108,36
11,8,4,0.833333333,10,2,120,24
12,8,4,0.916666667,11,1,132,12
13,6,2,0.25,3,9,108,36
